y_u_preds_inv,y_l_preds_inv,y_true_vals_inv,time
7448.094,443.31027,4397.07,19.951338291168213
7043.5435,158.57834,196.86,
1408.6118,140.75363,1308.53,
3109.1333,414.48996,1426.1,
2438.658,411.05368,3795.81,
6944.084,297.61765,824.42,
2023.7336,40.435516,1022.14,
3583.1882,298.9526,884.22,
1703.4347,328.26633,387.74,
1603.5846,211.91281,850.92,
4147.7944,261.47214,1090.91,
4374.3735,232.03586,234.53,
1496.7896,159.38962,105.37,
2616.291,204.94162,104.03,
2949.0466,220.73141,542.48,
4548.4277,215.124,882.94,
4230.732,181.58737,578.83,
1960.3376,146.3591,380.34,
2692.2612,177.30856,824.17,
4331.8013,238.20065,650.83,
3236.1836,192.23557,2074.02,
6306.2236,303.42184,1049.59,
3097.466,122.690155,3471.46,
5095.518,469.4858,484.46,
4224.07,112.32468,319.5,
1750.3789,296.3342,450.03,
1591.5099,292.64328,845.72,
3043.2004,207.70871,1105.76,
3734.0898,198.24948,820.6,
2130.1367,172.62668,518.09,
2573.1375,199.81638,855.14,
4036.3596,256.27316,1053.83,
4247.451,233.37741,973.65,
3025.6753,204.57956,205.38,
1634.248,176.32004,412.87,
3230.3176,248.56686,610.35,
4093.583,231.6174,899.82,
4552.2583,208.22092,803.31,
2551.9326,174.91843,1005.94,
3519.9207,216.33102,466.84,
2049.891,187.53073,459.05,
3247.4402,230.55856,706.69,
4057.2722,236.19333,1041.8,
4644.28,223.45895,1036.9,
2833.775,191.83078,527.9,
2010.7415,180.83957,998.07,
4155.8315,262.7529,1493.54,
4744.38,258.43112,2299.9,
4614.8325,268.16696,2666.85,
4635.373,243.32492,855.95,
3470.5059,184.41013,1676.22,
3815.2407,397.55466,7982.61,
8178.2695,1142.4912,906.31,
6783.8164,225.82028,2280.78,
3204.8904,380.6511,819.44,
9283.89,562.0776,1232.26,
4770.7705,514.7282,412.31,
1455.7179,237.05441,311.05,
2455.509,262.31955,75.68,
2572.0786,216.92917,678.16,
4733.1426,240.90866,1115.54,
4562.845,197.43674,2060.67,
4151.0293,238.5693,372.75,
1956.1064,89.96066,488.46,
2907.9204,250.11057,106.7,
1785.1394,246.56735,518.37,
3730.9739,239.86838,345.58,
3025.5579,169.5947,168.37,
2842.4155,170.92746,189.71,
3044.5535,179.66818,402.18,
3841.313,194.72482,1105.8,
5235.3496,214.49557,127.66,
514.6994,109.64133,405.29,
3338.0781,206.88596,2745.1,
9144.4,376.37888,3048.63,
6396.594,125.78952,1032.87,
959.52545,61.570526,496.93,
2195.0723,244.79611,229.7,
1051.5813,369.23874,261.82,
